Time(s)	Position(mm)
74.1135	40.645747
74.1766	40.639216
74.2395	40.633296
74.3008	40.626787
74.3646	40.620896
74.4271	40.614067
74.4901	40.608438
74.5530	40.601626
74.6162	40.596038
74.6782	40.589226
74.7386	40.583337
74.8009	40.576807
74.8630	40.570857
74.9264	40.564346
74.9878	40.558486
75.0514	40.551677
75.1150	40.546057
75.1778	40.539226
75.2400	40.532698
75.3025	40.526777
75.3659	40.519956
75.4271	40.514387
75.4887	40.508457
75.5516	40.501926
75.6148	40.496038
75.6766	40.489536
75.7385	40.483616
75.8014	40.476807
75.8639	40.471196
75.9275	40.464387
75.9913	40.457876
76.0547	40.451997
76.1177	40.445166
76.1812	40.439536
76.2427	40.432727
76.3044	40.426206
76.3685	40.420327
76.4298	40.414436
76.4928	40.407917
76.5558	40.401978
76.6163	40.395466
76.6782	40.389607
76.7409	40.382798
76.8030	40.377166
76.8655	40.370337
76.9259	40.364736
76.9896	40.357908
77.0526	40.352317
77.1152	40.345508
77.1769	40.339578
77.2394	40.333057
77.3035	40.327178
77.3648	40.320657
77.4271	40.314736
77.4902	40.307927
77.5530	40.302307
77.6155	40.295508
77.6787	40.288997
77.7411	40.283108
77.8036	40.277178
77.8667	40.270657
77.9287	40.263848
77.9912	40.258267
78.0536	40.251467
78.1134	40.245557
78.1766	40.239937
78.2384	40.233127
78.3014	40.226616
78.3632	40.220757
78.4262	40.213958
78.4883	40.208328
78.5508	40.202417
78.6126	40.195916
78.6747	40.190027
78.7367	40.183496
78.7987	40.177588
78.8616	40.170776
78.9247	40.165217
78.9867	40.158386
79.0507	40.151887
79.1128	40.145977
79.1754	40.140098
79.2386	40.133586
79.3003	40.126768
79.3628	40.121177
79.4251	40.114346
79.4872	40.108438
79.5502	40.101917
79.6128	40.096047
79.6747	40.089536
79.7368	40.083606
79.7991	40.076777
79.8622	40.071157
79.9242	40.064368
79.9855	40.058777
80.0473	40.051978
80.1084	40.046338
80.1721	40.040466
80.2356	40.033628
80.2967	40.027117
80.3602	40.021226
80.4212	40.014688
80.4845	40.008796
80.5477	40.002908
80.6095	39.996387
80.6706	39.990427
80.7336	39.983896
80.7943	39.977097
80.8566	39.971226
80.9183	39.965627
80.9825	39.958806
81.0459	39.952288
81.1071	39.946357
81.1711	39.939546
81.2346	39.933997
81.2982	39.927188
81.3610	39.921548
81.4240	39.914727
81.4870	39.907908
81.5498	39.902307
81.6129	39.895496
81.6745	39.889917
81.7364	39.883096
81.7990	39.877476
81.8614	39.870647
81.9236	39.864756
81.9871	39.858247
82.0491	39.852336
82.1127	39.845806
82.1738	39.839917
82.2355	39.833096
82.2986	39.827507
82.3608	39.820686
82.4244	39.815046
82.4862	39.808247
82.5488	39.802375
82.6113	39.795867
82.6724	39.789946
82.7348	39.783406
82.7971	39.777488
82.8595	39.770676
82.9219	39.765117
82.9842	39.759177
83.0454	39.752656
83.1084	39.746777
83.1714	39.740266
83.2349	39.733428
83.2977	39.727546
83.3603	39.721006
83.4234	39.715088
83.4866	39.708586
83.5492	39.702698
83.6112	39.695867
83.6734	39.690237
83.7347	39.683428
83.7971	39.677847
83.8615	39.671028
83.9265	39.665137
83.9846	39.658596
84.0471	39.652656
84.1089	39.646147
84.1715	39.640276
84.2331	39.633467
84.2962	39.627847
84.3579	39.621016
84.4205	39.615408
84.4834	39.608586
84.5458	39.602996
84.6085	39.596187
84.6708	39.590256
84.7331	39.583726
84.7952	39.577847
84.8580	39.571338
84.9206	39.565417
84.9816	39.558606
85.0426	39.552986
85.1060	39.547126
85.1690	39.540618
85.2326	39.533787
85.2952	39.527856
85.3565	39.521326
85.4180	39.515457
85.4816	39.508958
85.5449	39.503057
85.6068	39.496238
85.6692	39.490618
85.7327	39.483787
85.7955	39.477288
85.8590	39.471416
85.9210	39.464617
85.9829	39.458987
86.0450	39.453076
86.1082	39.446577
86.1710	39.439766
86.2336	39.434177
86.2967	39.427366
86.3583	39.421448
86.4208	39.414946
86.4812	39.409058
86.5435	39.402556
86.6070	39.396636
86.6702	39.389846
86.7327	39.384236
86.7957	39.377427
86.8555	39.371846
86.9186	39.365017
